 Molecular Dynamics Program

 Number Of Particles   :          100
 Boxlength             :    5.0000000000000000     
 Density               :   0.80000000000000004     
 Temperature           :   0.50000000000000000     
 Cut-Off Radius        :    2.4999500000000001     
 Cut-Off Energy        :   -1.6318841245411584E-002
 Number Of Steps       :        50000
 Number Of Init Steps  :         5000
 Delta t               :    1.0000000000000000E-003
 Initial Energy        :    245316.72400150794     
 Final Energy          :   -240.12996283930053     

 Momentum X-Dir.        :   -4.6262993436130273E-013
 Momentum Y-Dir.        :    1.0137446437852304E-012
 Momentum Z-Dir.        :    1.2775891455873989E-013


 Step  TotalEnergy  KineticEnergy  PotentialEnergy  Temperature  Pressure
 8050  -0.44176E+03   0.70928E+02  -0.51269E+03   0.47763E+00  -0.79369E+00
 8100  -0.44176E+03   0.73052E+02  -0.51482E+03   0.49194E+00  -0.94648E+00
 8150  -0.44176E+03   0.75839E+02  -0.51760E+03   0.51070E+00  -0.10811E+01
 8200  -0.44176E+03   0.74168E+02  -0.51593E+03   0.49945E+00  -0.10419E+01
 8250  -0.44176E+03   0.80028E+02  -0.52179E+03   0.53891E+00  -0.12551E+01
 8300  -0.44176E+03   0.75859E+02  -0.51762E+03   0.51083E+00  -0.10987E+01
 8350  -0.44176E+03   0.76471E+02  -0.51823E+03   0.51495E+00  -0.11845E+01
 8400  -0.44176E+03   0.79589E+02  -0.52135E+03   0.53595E+00  -0.13847E+01
 8450  -0.44176E+03   0.80173E+02  -0.52194E+03   0.53989E+00  -0.14185E+01
 8500  -0.44176E+03   0.82315E+02  -0.52408E+03   0.55431E+00  -0.14600E+01
 8550  -0.44176E+03   0.79626E+02  -0.52139E+03   0.53620E+00  -0.12504E+01
 8600  -0.44176E+03   0.81463E+02  -0.52323E+03   0.54858E+00  -0.12045E+01
 8650  -0.44176E+03   0.74277E+02  -0.51604E+03   0.50018E+00  -0.88688E+00
 8700  -0.44176E+03   0.71813E+02  -0.51358E+03   0.48359E+00  -0.76334E+00
 8750  -0.44176E+03   0.76148E+02  -0.51791E+03   0.51278E+00  -0.91597E+00
