BetaEpsilon,Calc_Avg_Val,Theo_Avg_Val,Relative_Error
0.05,18.725058,19.50416649306586,0.03994574663535858
0.1,9.482698,9.508331944775042,0.002695945505891736
0.15000000000000002,6.134114,6.179161981676418,0.007290306001040641
0.2,4.492726,4.516655566126994,0.005298071942092654
0.25,3.497326,3.5208116641877996,0.006670525557128091
0.30000000000000004,2.835982,2.858295913510082,0.007806719172991296
0.35000000000000003,2.355972,2.386250148351596,0.012688589405646279
0.4,2.007446,2.0332447817197363,0.01268847801882253
0.45,1.743256,1.7595962668607934,0.009286372771150127
0.5,1.535228,1.5414940825367982,0.00406494102558359
0.55,1.35487,1.3637857269355889,0.006537483682002142
0.6000000000000001,1.209956,1.2163692151608705,0.005272424754701045
0.65,1.089524,1.0922505783571361,0.002496293809463814
0.7000000000000001,0.982508,0.9864338636344632,0.003979854888596876
0.75,0.889222,0.8952551344023434,0.006739011227644113
0.8,0.811074,0.815966220916094,0.005995616963900226
0.8500000000000001,0.742626,0.7464653826956815,0.005143416941608867
0.9,0.683438,0.6851177504050078,0.0024517689171165095
0.9500000000000001,0.627174,0.6306324705314903,0.005484130128243358
1.0,0.580586,0.5819767068693265,0.0023896263422767345
1.05,0.538472,0.5383142131890871,0.00029311284570783964
1.1,0.499546,0.49896065897319475,0.001173120598344984
1.1500000000000001,0.46419,0.46335060944285383,0.0018115667488933821
1.2000000000000002,0.431898,0.431012760693333,0.0020538586960696923
1.25,0.402624,0.4015511184930129,0.0026718429051163445
1.3,0.375656,0.3746305205153175,0.00273730897117493
1.35,0.351804,0.34996537591518023,0.00525373140131838
1.4000000000000001,0.32872,0.3273108179013146,0.00430533310118175
1.4500000000000002,0.307572,0.3064556868450155,0.0036426576595038375
1.5,0.28753,0.2872169167888683,0.0010900583943036367
1.55,0.269606,0.26943500844777457,0.0006346300475596328
1.6,0.253336,0.2529703510218533,0.0014454222665609506
1.6500000000000001,0.23842,0.23770021276055187,0.0030281303962197445
1.7000000000000002,0.223022,0.22351626258482726,0.0022113048022162876
1.75,0.20958,0.21032251654728903,0.003530371162719034
1.8,0.197504,0.1980336265150059,0.00267442718858529
1.85,0.185224,0.18657344632279096,0.007232788745598267
1.9000000000000001,0.174316,0.1758738242771767,0.008857624399646786
1.9500000000000002,0.164194,0.1658735813777651,0.01012567139272141
2.0,0.155034,0.15651764274966565,0.009479076758385512
2.0500000000000003,0.146788,0.14775629612379151,0.006553332407441137
2.1,0.138068,0.13954455618562053,0.010581252511609547
2.15,0.130522,0.13184161755373985,0.010009112283547086
2.2,0.123582,0.12461038228415619,0.008252781712932346
2.25,0.116666,0.11781705030408059,0.009769810915396126
2.3000000000000003,0.11034,0.11143076319598245,0.009788707935743435
2.35,0.103902,0.10542329338354212,0.014430334461355524
2.4000000000000004,0.09823,0.09976877209617535,0.015423384129575172
2.45,0.092752,0.09444345057047258,0.017909665098591907
2.5,0.088076,0.08942548983385201,0.015090661917080842
2.5500000000000003,0.083374,0.08469477514615821,0.015594529224251887
2.6,0.079192,0.08023275177893807,0.012971657532146135
2.6500000000000004,0.07479,0.07602227931355073,0.016209449712343473
2.7,0.070868,0.07204750205711644,0.016371172121711762
2.75,0.068248,0.06829373352476674,0.0006696591679257209
2.8000000000000003,0.064726,0.0647473532299482,0.0003297930939719771
2.85,0.061414,0.061395714271498945,0.0002978339566210813
2.9000000000000004,0.058426,0.05822706041485129,0.0034166173550806327
2.95,0.055468,0.05523045154151439,0.004301041397553297
3.0,0.052274,0.05239569649125595,0.002322642877287821
3.0500000000000003,0.04969,0.049713292449491034,0.0004685356439568163
3.1,0.047066,0.04717437014186739,0.002297224987667985
3.1500000000000004,0.04469,0.04477064419186926,0.0018012738776697565
3.2,0.042424,0.04249436807788889,0.0016559389178327068
3.25,0.040316,0.04033829319566777,0.0005526558984445951
3.3000000000000003,0.038408,0.038295631591983334,0.002934235664628299
3.35,0.036576,0.03636002198736422,0.005939985754432059
3.4000000000000004,0.034642,0.03452549875064628,0.0033743538419277854
3.45,0.032824,0.03278646352732932,0.0011448771423422778
3.5,0.031358,0.03113765925779979,0.0070763425206733545
3.5500000000000003,0.02976,0.02957414635126114,0.006284328431036372
3.6,0.028258,0.028091280807259065,0.005934908909452489
3.6500000000000004,0.027018,0.02668469409951759,0.01249052731275025
3.7,0.025824,0.02535027465684835,0.018687187794380535
3.75,0.02454,0.024084150793529126,0.018927352281540664
3.8000000000000003,0.022204,0.02288267495708943,0.029658899510748172
3.85,0.021206,0.021742409175159925,0.02467110111112978
3.9000000000000004,0.02023,0.02066011159517434,0.020818454595124262
3.95,0.019146,0.019632724021458582,0.02479146658031726
4.0,0.01822,0.01865736036377405,0.02344170639611209
4.05,0.017328,0.017731295919852914,0.022744864316508427
4.1000000000000005,0.01637,0.016851957422000352,0.028599492031184108
4.15,0.015672,0.016016913784556237,0.021534347327811027
4.2,0.014962,0.015223867495003807,0.01720111496567793
4.25,0.01411,0.014470646596871495,0.02492263178823443
4.3,0.013492,0.01375519721736927,0.01913438340505359
4.3500000000000005,0.01295,0.013075576596999037,0.00960390511787132
4.4,0.012184,0.012429946582235528,0.01978661618602821
4.45,0.011584,0.011816567545839735,0.01968148067850839
4.5,0.01111,0.01123379270248555,0.011019671251202632
4.55,0.010528,0.010680062790188962,0.014238005260479572
4.6000000000000005,0.010122,0.010153901090563173,0.0031417570723453873
4.65,0.00961,0.009653908763211115,0.004548288603932228
4.7,0.00921,0.009178760471635431,0.0034034582840575932
4.75,0.0087,0.008727200279919084,0.003116724613467497
